Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
nuevo,Chrome 114.0.0.0,,,2023-06-08 16:35:16,2023-06-08 16:35:40,"23,962s",PASSED
,,,,,,,
Test Cases/test1,Chrome 114.0.0.0,,,2023-06-08 16:35:16,2023-06-08 16:35:40,"23,765s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-08 16:35:16,2023-06-08 16:35:18,"2,042s",PASSED
"navigateToUrl(""https://www.royalcaribbean.com/"")",Chrome 114.0.0.0,,,2023-06-08 16:35:18,2023-06-08 16:35:21,"2,864s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_cruise rooms_notification-banner__secti_617cae""))",Chrome 114.0.0.0,,,2023-06-08 16:35:21,2023-06-08 16:35:31,"9,628s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_Cruising to Any Destination""))",Chrome 114.0.0.0,,,2023-06-08 16:35:31,2023-06-08 16:35:31,"0,643s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/label_Mexico""))",Chrome 114.0.0.0,,,2023-06-08 16:35:31,2023-06-08 16:35:32,"0,635s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_Departing from Any Departure Port""))",Chrome 114.0.0.0,,,2023-06-08 16:35:32,2023-06-08 16:35:33,"0,625s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/label_Los Angeles, California""))",Chrome 114.0.0.0,,,2023-06-08 16:35:33,2023-06-08 16:35:33,"0,639s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/div_Leaving Any Date""))",Chrome 114.0.0.0,,,2023-06-08 16:35:33,2023-06-08 16:35:34,"0,634s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/label_Dec""))",Chrome 114.0.0.0,,,2023-06-08 16:35:34,2023-06-08 16:35:35,"0,649s",PASSED
"click(findTestObject(""Object Repository/Page_Cruises  Amazing Cruises and Cruise De_95ece5/button_Search Cruises""))",Chrome 114.0.0.0,,,2023-06-08 16:35:35,2023-06-08 16:35:36,"1,881s",PASSED
"click(findTestObject(""Object Repository/Page_Find Mexico Cruises from Los Angeles  _3e07dc/p_Recommended""))",Chrome 114.0.0.0,,,2023-06-08 16:35:36,2023-06-08 16:35:37,"0,974s",PASSED
"click(findTestObject(""Object Repository/Page_Find Mexico Cruises from Los Angeles  _3e07dc/p_Price lowest to highest""))",Chrome 114.0.0.0,,,2023-06-08 16:35:37,2023-06-08 16:35:38,"1,031s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Find Mexico Cruises from Los Angeles  _3e07dc/h3_Ensenada Cruise""), ""Ensenada Cruise"")",Chrome 114.0.0.0,,,2023-06-08 16:35:38,2023-06-08 16:35:39,"0,571s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-08 16:35:39,2023-06-08 16:35:40,"0,647s",PASSED
